Total not voting1 ,Out of town%,Forgot to vote%,Concerns about the coronavirus (COVID-19) pandemic%,Illness or disability%,Not interested%,"Too busy, conflicting schedule%",Transportation problems%,Did not like candidates or campaign issues%,Registration problems%,Bad weather conditions%,Inconvenient polling place%,Other reason%,Don't know or refused%
"12,810",6.1,3.7,4.3,13.0,17.6,13.1,2.4,14.5,4.9,0.1,2.6,14.5,3.2
"2,017",8.8,5.7,2.3,4.5,19.2,18.4,3,11.0,4.9,-,2.5,15.7,4.0
"5,350",5.8,3.6,3.8,5.8,19.8,16.3,1.4,16.7,5.8,-,3.4,14.4,3.2
"3,364",6.3,3.2,4.1,15.8,16.7,11.7,3,15.3,4.6,0.1,2,14.3,3.0
"2,079",3.8,2.8,8.1,35.2,11.7,2.1,3.3,11.2,3.1,0.2,1.8,14.0,2.6
"6,375",7.0,3.5,3.4,9.7,20.1,14.2,2.2,14.6,5.2,0.1,2.6,14.5,2.9
"6,434",5.1,3.9,5.2,16.3,15.1,12.1,2.6,14.5,4.6,0.1,2.6,14.5,3.5
"9,926",6.3,3.5,4.3,12.7,17.8,12.8,1.9,15.9,4.9,0.1,2.6,14.1,3.1
"8,056",6.4,3.3,4.3,13.2,17.6,12.0,2.1,16.1,4.7,-,2.4,14.5,3.4
"1,800",4.7,5,3.4,14.0,18.1,10.5,5.8,10.2,4.6,-,3.4,16.0,4.4
441,8.5,0.5,9.3,12.8,11.9,24.8,-,6.1,9.1,-,1.1,15.4,0.4
"2,096",6.9,4.1,4.5,10.2,17.9,16.7,1,15.8,5,0.2,3.1,12.9,1.7
"10,261",6.3,3.6,4.2,12.7,17.8,13.2,1.8,15.7,4.8,0.1,2.6,14.1,3.1
"1,949",4.7,5.3,3.1,14.2,17.5,11.8,5.4,10.1,4.6,-,3.5,15.5,4.4
515,8.6,3,9.0,10.9,13.3,22.7,-,6.4,7.8,-,1.1,16.8,0.3
"1,503",4.5,3.7,5.5,24.1,16.3,10.9,5.8,5.9,3.1,0.3,2.5,14.4,2.9
"5,036",5.6,3.6,3.9,13.1,19.0,13.3,2.1,14.0,4.4,-,2.8,14.6,3.7
"3,901",6.4,4.5,4.0,10.0,17.6,14.2,2.5,16.9,5,-,2.2,14.0,2.6
"2,371",7.5,2.6,5.0,10.7,15.6,12.4,0.6,17.2,6.9,-,2.9,15.1,3.3
"11,688",5.9,3.7,4.0,12.9,17.7,13.1,2.6,14.7,4.8,-,2.5,14.7,3.2
"1,122",7.6,3.6,7.2,13.8,16.1,13.5,0.3,12.8,6.1,0.3,3.5,12.3,2.8
"2,283",8.1,4.3,2.1,6.3,17.1,13.3,3.2,16.2,9.4,-,2.3,15.0,2.7
"2,119",4.9,3.8,2.5,9.7,17.5,15.4,2,15.1,6.9,0.1,2.3,17.8,2.0
"8,240",5.8,3.6,5.5,15.5,17.9,12.4,2.2,14.1,3.2,0.1,2.9,13.4,3.5
167,6.8,-,0.6,24.2,10.9,14.6,5.1,8.2,-,-,-,17.6,11.9
"2,177",5.2,3.4,6.0,14.1,16.3,9.3,1.8,16.9,4.8,0.1,3,14.6,4.5
"3,049",5.2,3.2,4.0,13.9,17.0,15.2,1.8,15.3,3.9,-,2.1,15.1,3.2
"5,423",7.3,3.3,4.6,13.8,17.9,13.8,3.5,11.7,5.3,-,3.3,12.9,2.6
"2,160",5.0,5.9,2.3,8.6,19.0,12.4,0.9,18.3,5.3,0.3,1.1,17.4,3.4
"8,458",6.3,3.5,4.4,12.6,17.6,13.7,2.1,14.1,5,-,2.6,15.0,3.1
302,6.5,5.2,2.9,15.9,9.9,12.6,6.2,8.6,2.8,-,6.6,21.5,1.3
336,0.8,2.2,1.7,21.0,15.4,14.2,8.5,13.6,3.8,-,2.9,11.0,4.8
224,2.9,1.1,3.0,13.7,25.5,4.7,1.8,9.8,4.9,-,3.8,24.1,4.7
736,4.0,1.3,5.7,18.9,19.8,12.2,4,7.9,9.8,-,1.9,12.3,2.2
736,6.4,4.6,6.8,16.1,17.3,12.4,1.4,13.3,2.1,-,2.4,14.7,2.5
643,8.1,2.8,4.7,12.0,16.9,13.9,1.7,17.3,7.4,-,0.2,13.3,1.6
"1,435",5.7,3.4,5.2,10.9,18.9,15.5,1.2,13.4,4.3,-,2.8,16.0,2.7
964,8.6,3.8,3.4,7.2,19.8,14.4,0.8,19.7,4.9,-,3.1,11.6,2.6
989,5.5,3.5,2.8,8.8,16.9,14.5,0.1,17.9,6.5,-,3.7,16.2,3.8
752,8.7,5.6,5.4,8.4,17.3,18.5,0.6,10.6,5.7,-,1.3,14.8,3.1
"1,339",6.6,3.3,3.8,15.4,15.7,11.0,3.6,14.7,3.1,0.3,2.2,16.0,4.5
