State,Female_Prop,Male_Prop,White alone_Prop,White non-Hispanic alone_Prop,Black alone_Prop,Asian alone_Prop,Hispanic (of any race)_Prop
ALABAMA,0.528,0.472,0.705,0.686,0.258,0.015,0.021
ALASKA,0.491,0.509,0.653,0.616,0.032,0.066,0.053
ARIZONA,0.514,0.486,0.858,0.557,0.049,0.037,0.319
ARKANSAS,0.518,0.482,0.818,0.764,0.147,0.011,0.059
CALIFORNIA,0.513,0.487,0.723,0.398,0.064,0.167,0.368
COLORADO,0.502,0.498,0.884,0.722,0.041,0.034,0.189
CONNECTICUT,0.52,0.48,0.791,0.663,0.116,0.078,0.166
DELAWARE,0.527,0.471,0.705,0.646,0.225,0.04,0.074
DISTRICT OF COLUMBIA,0.542,0.458,0.483,0.422,0.436,0.062,0.087
FLORIDA,0.521,0.479,0.793,0.554,0.154,0.034,0.257
GEORGIA,0.531,0.469,0.596,0.528,0.32,0.048,0.092
HAWAII,0.517,0.482,0.247,0.216,0.017,0.463,0.067
IDAHO,0.504,0.496,0.934,0.825,0.007,0.016,0.121
ILLINOIS,0.516,0.484,0.782,0.644,0.138,0.067,0.147
INDIANA,0.517,0.483,0.847,0.809,0.093,0.035,0.044
IOWA,0.506,0.494,0.915,0.876,0.04,0.033,0.046
KANSAS,0.51,0.49,0.866,0.726,0.049,0.04,0.147
KENTUCKY,0.522,0.478,0.885,0.841,0.077,0.014,0.048
LOUISIANA,0.529,0.471,0.643,0.596,0.311,0.024,0.061
MAINE,0.519,0.481,0.953,0.945,0.012,0.009,0.01
MARYLAND,0.523,0.477,0.599,0.54,0.309,0.066,0.07
MASSACHUSETTS,0.521,0.479,0.803,0.717,0.089,0.075,0.115
MICHIGAN,0.513,0.487,0.805,0.76,0.131,0.036,0.052
MINNESOTA,0.505,0.495,0.863,0.823,0.06,0.041,0.048
MISSISSIPPI,0.534,0.465,0.61,0.588,0.358,0.017,0.03
MISSOURI,0.524,0.476,0.835,0.795,0.112,0.03,0.05
MONTANA,0.505,0.496,0.923,0.906,0.005,0.012,0.024
NEBRASKA,0.507,0.493,0.907,0.84,0.056,0.018,0.068
NEVADA,0.504,0.496,0.704,0.504,0.097,0.096,0.272
NEW HAMPSHIRE,0.508,0.492,0.936,0.908,0.018,0.025,0.035
NEW JERSEY,0.518,0.482,0.72,0.552,0.146,0.119,0.198
NEW MEXICO,0.513,0.487,0.832,0.463,0.021,0.017,0.395
NEW YORK,0.526,0.474,0.699,0.58,0.169,0.101,0.154
NORTH CAROLINA,0.525,0.475,0.712,0.599,0.216,0.039,0.122
NORTH DAKOTA,0.494,0.506,0.881,0.856,0.023,0.018,0.028
OHIO,0.518,0.482,0.829,0.793,0.119,0.026,0.043
OKLAHOMA,0.513,0.487,0.778,0.672,0.079,0.009,0.118
OREGON,0.512,0.488,0.877,0.805,0.024,0.042,0.083
PENNSYLVANIA,0.517,0.483,0.857,0.799,0.105,0.023,0.062
RHODE ISLAND,0.521,0.479,0.883,0.785,0.073,0.03,0.105
SOUTH CAROLINA,0.529,0.471,0.708,0.65,0.257,0.012,0.064
SOUTH DAKOTA,0.499,0.501,0.891,0.876,0.027,0.018,0.02
TENNESSEE,0.518,0.482,0.797,0.742,0.164,0.019,0.062
TEXAS,0.511,0.489,0.793,0.448,0.126,0.058,0.36
UTAH,0.506,0.494,0.903,0.802,0.017,0.022,0.109
VERMONT,0.507,0.493,0.941,0.935,0.016,0.022,0.012
VIRGINIA,0.524,0.476,0.698,0.614,0.191,0.079,0.105
WASHINGTON,0.508,0.492,0.79,0.688,0.043,0.093,0.113
WEST VIRGINIA,0.511,0.49,0.948,0.933,0.032,0.004,0.016
WISCONSIN,0.51,0.49,0.883,0.832,0.058,0.026,0.053
WYOMING,0.502,0.498,0.94,0.869,0.005,0.005,0.092
